,Palabra,cant cuyo,cant guaranitica,Total cuyo,Total guaranitica,Total cuyo guaranitica,Pvalue,fnorm cuyo,fnorm guaranitica,maxdif
1096,cortele,32.0,0.0,1,0,1,9.34422239855e-25,3.40338673141,0.0322502516326,105.530548108
1098,graty,0.0,348.0,0,30,30,9.37149742571e-25,0.106355835356,11.2230875681,105.523947328
1134,unimev,31.0,0.0,18,0,18,4.93658086927e-24,3.29703089605,0.0322502516326,102.23271848
552,mendocinas,62.0,2.0,43,2,45,3.81254398481e-44,6.5940617921,0.0645005032652,102.23271848
1135,comán,31.0,0.0,7,0,7,4.93658086927e-24,3.29703089605,0.0322502516326,102.23271848
1136,principreto,31.0,0.0,1,0,1,4.93658086927e-24,3.29703089605,0.0322502516326,102.23271848
1137,toponero,31.0,0.0,1,0,1,4.93658086927e-24,3.29703089605,0.0322502516326,102.23271848
1138,perdriel,31.0,0.0,6,0,6,4.93658086927e-24,3.29703089605,0.0322502516326,102.23271848
1204,repasá,31.0,1.0,4,1,5,6.55808819178e-23,3.29703089605,0.0322502516326,102.23271848
341,correntino,3.0,1001.0,3,300,303,1.74146473593e-66,0.319067506069,32.2825018842,101.177654478
1177,bodeguero,30.0,0.0,15,0,15,2.60931872243e-23,3.19067506069,0.0322502516326,98.9348888511
1243,joia,30.0,1.0,24,1,25,3.45944873315e-22,3.19067506069,0.0322502516326,98.9348888511
1178,turronada,30.0,0.0,15,0,15,2.60931872243e-23,3.19067506069,0.0322502516326,98.9348888511
1180,atinando,30.0,0.0,25,0,25,2.60931872243e-23,3.19067506069,0.0322502516326,98.9348888511
1179,vaquié,30.0,0.0,8,0,8,2.60931872243e-23,3.19067506069,0.0322502516326,98.9348888511
1244,vitivinícola,30.0,1.0,13,1,14,3.45944873315e-22,3.19067506069,0.0322502516326,98.9348888511
1189,ais,0.0,324.0,0,131,131,3.69278174146e-23,0.106355835356,10.449081529,98.2464337196
1194,empeda,0.0,322.0,0,243,243,5.01608831113e-23,0.106355835356,10.3845810257,97.6399742519
355,retweeted,3.0,966.0,1,11,12,3.5733891999e-64,0.319067506069,31.1537430771,97.6399742516
1201,formoseño,0.0,321.0,0,138,138,5.84620381113e-23,0.106355835356,10.3523307741,97.3367445185
1205,unne,0.0,320.0,0,152,152,6.81372737784e-23,0.106355835356,10.3200805224,97.0335147842
371,stardoll,88.0,3.0,3,3,6,9.85210747255e-62,9.35931351137,0.0967507548978,96.7363357656
203,potrerillos,146.0,5.0,94,4,98,3.70786087918e-101,15.527951962,0.161251258163,96.2966251482
1286,chardonnay,29.0,1.0,9,1,10,1.82562200056e-21,3.08431922534,0.0322502516326,95.6370592229
1287,escandinava,29.0,1.0,16,1,17,1.82562200056e-21,3.08431922534,0.0322502516326,95.6370592229
1288,mannnso,29.0,1.0,18,1,19,1.82562200056e-21,3.08431922534,0.0322502516326,95.6370592229
590,nuova,58.0,2.0,2,2,4,2.85562280493e-41,6.16863845068,0.0645005032652,95.6370592229
1222,tevecoa,29.0,0.0,17,0,17,1.37994026631e-22,3.08431922534,0.0322502516326,95.6370592229
1221,malpegarte,29.0,0.0,24,0,24,1.37994026631e-22,3.08431922534,0.0322502516326,95.6370592229
1224,malpegarme,29.0,0.0,23,0,23,1.37994026631e-22,3.08431922534,0.0322502516326,95.6370592229
1223,cuyoactividades,29.0,0.0,1,0,1,1.37994026631e-22,3.08431922534,0.0322502516326,95.6370592229
1289,palmar,1.0,306.0,1,57,58,1.84603239858e-21,0.106355835356,9.86857699957,92.7882985126
397,sldos,84.0,3.0,1,3,4,7.29540595158e-59,8.93389016994,0.0967507548978,92.3392295944
1263,sperdutti,28.0,0.0,8,0,8,7.30199821251e-22,2.97796338998,0.0322502516326,92.3392295944
1340,cldaaa,28.0,1.0,19,1,20,9.63827135462e-21,2.97796338998,0.0322502516326,92.3392295944
3,culiada,587.0,21.0,209,19,228,0.0,62.4308753543,0.677255284284,92.1821900885
45,teres,38.0,11491.0,10,1802,1812,0.0,4.04152174355,370.58764151,91.6950755248
1275,exxim,0.0,301.0,0,116,116,1.25167548308e-21,0.106355835356,9.70732574141,91.2721498441
629,tombaaa,55.0,2.0,25,2,27,4.09096682825e-39,5.84957094461,0.0645005032652,90.6903147803
1301,moconá,0.0,296.0,0,10,10,2.69330330826e-21,0.106355835356,9.54607448325,89.7560011756
1402,meru,27.0,1.0,1,1,2,5.09076013447e-20,2.87160755463,0.0322502516326,89.0413999662
1308,talca,27.0,0.0,16,0,16,3.86624296277e-21,2.87160755463,0.0322502516326,89.0413999662
1309,pgm,27.0,0.0,2,0,2,3.86624296277e-21,2.87160755463,0.0322502516326,89.0413999662
1310,malpegante,27.0,0.0,23,0,23,3.86624296277e-21,2.87160755463,0.0322502516326,89.0413999662
1311,díamartes,27.0,0.0,1,0,1,3.86624296277e-21,2.87160755463,0.0322502516326,89.0413999662
1403,delf,27.0,1.0,3,1,4,5.09076013447e-20,2.87160755463,0.0322502516326,89.0413999662
645,servio,54.0,2.0,10,2,12,2.14084497497e-38,5.74321510925,0.0645005032652,89.0413999661
223,novecientos,133.0,5.0,3,4,7,7.60340375552e-92,14.1453261024,0.161251258163,87.7222681147
1332,kalima,0.0,289.0,0,103,103,7.87582975835e-21,0.106355835356,9.32032272182,87.6333930397
1343,chamiga,0.0,287.0,0,200,200,1.07019882952e-20,0.106355835356,9.25582221855,87.0269335723
1348,cst,0.0,285.0,0,3,3,1.45426217551e-20,0.106355835356,9.19132171529,86.4204741049
1362,abelairas,26.0,0.0,4,0,4,2.04843515797e-20,2.76525171927,0.0322502516326,85.7435703378
1363,dalvian,26.0,0.0,15,0,15,2.04843515797e-20,2.76525171927,0.0322502516326,85.7435703378
1367,atinen,26.0,0.0,20,0,20,2.04843515797e-20,2.76525171927,0.0322502516326,85.7435703378
1364,alaniz,26.0,0.0,6,0,6,2.04843515797e-20,2.76525171927,0.0322502516326,85.7435703378
1365,sanraa,26.0,0.0,19,0,19,2.04843515797e-20,2.76525171927,0.0322502516326,85.7435703378
1366,reyunos,26.0,0.0,20,0,20,2.04843515797e-20,2.76525171927,0.0322502516326,85.7435703378
