palabra,pvalorWelch
bari,2.02145716865e-10
jumbo,2.10110979888e-16
oita,4.87801911023e-12
cansao,1.53644869159e-17
esquiú,0.000325590000637
barreal,0.00255475716555
depo,4.27149473682e-07
rosario,3.57165065157e-65
comparseros,0.0868897620196
marga,1.10369153418e-08
añañai,9.03101326857e-11
belisle,0.00241889071332
arcando,0.00010415227553
ardente,0.0022840904569
whaa,9.0664060742e-08
martinena,0.0247866528976
dal,4.68215288421e-14
tello,4.16720013036e-11
bagna,8.59446370906e-14
bernabé,3.51371585984e-06
puee,0.00375125330689
huapi,1.15568263385e-06
zuqui,3.8774460879e-05
pueee,8.81166247616e-31
cge,0.00158986593066
paicol,2.10575798476e-06
upd,8.46246800544e-23
moque,0.0100045255449
ñeri,2.73797549406e-05
valenciano,0.000441478371821
aristides,2.57082108596e-08
sierras,3.24579987427e-23
tineo,0.000188643369417
vislumbre,0.000328346273697
colón,8.3246562634e-11
porrones,5.50180368007e-16
inmigrante,0.00020467149393
bonnita,1.15334270225e-06
futsal,0.000141482589238
apúntate,0.00699719209908
broncon,4.92048522302e-06
paraná,4.58595958649e-27
culiau,7.39081395425e-09
odarda,0.0126483265998
alperovichismo,0.0256729645399
totoras,0.0210053437703
secamentes,2.09204199209e-11
ferno,5.71553905343e-06
caviahue,4.34874175817e-05
descompostura,1.78542056363e-44
tizón,0.00300639405976
antoniana,4.35024152536e-06
oajnu,0.000453231230915
bolaseo,6.28380429352e-06
boyadjian,0.00011224100025
antofagasta,0.00484761091722
bahía,5.06586771933e-32
resistencia,1.27624108986e-12
zapiola,6.4620336774e-05
aguilares,0.106414719114
pedco,4.70715927439e-07
queno,2.50521805351e-26
menucos,0.0241489161476
renca,0.000694653962591
maridaje,0.142322666365
batis,1.42920774369e-08
uraa,3.75649477604e-06
alpp,2.47757094202e-05
lnb,0.163124619737
sanjuan,0.00111574403588
upr,0.168938143319
sinas,0.000971026989954
berti,0.0103889982402
udap,0.00147060544999
carrizal,0.000323968439804
tilisarao,0.0435789811196
rosamonte,0.000644124748133
culiadaso,9.13592972312e-10
sde,0.00730064783074
csir,0.00753252234817
monteros,1.51765952318e-05
peralta,1.83837107175e-09
andacollo,0.00142948162733
saenz,1.83996956898e-05
bocchicchio,0.00666593688585
lirios,0.230239759791
confir,9.59741910587e-08
rajoy,2.91478229779e-06
